"question","answer"
"Les non-conformités issues d'audits internes sont-elles gérées ?","Oui, les audits internes sont également une source de non-conformités gérée."
"Le module gère-t-il les réclamations des clients ?","Oui, les réclamations des clients (internes et externes) sont une source de non-conformités."
"Les problèmes liés aux fournisseurs sont-ils gérés ?","Oui, les non-conformités provenant des fournisseurs sont prises en charge par le module."
"Les revues de Direction peuvent-elles être des sources de non-conformités ?","Oui, les décisions ou constats issus des revues de Direction peuvent générer des non-conformités."
"Les revues de processus peuvent-elles identifier des non-conformités ?","Oui, c'est l'un de leurs objectifs."
"Qu'est-ce qu'une 'préconisation d'inspecteur' ?","C'est une recommandation officielle émise par un inspecteur, qui peut être enregistrée comme une non-conformité à traiter."
"Le système QUALIPRO est-il exclusivement un outil de gestion de la qualité ?","Il est principalement orienté vers la qualité, mais il couvre plusieurs aspects du management d'une organisation."
"Que représente le logo 'SAR' sur le document ?","SAR est la société qui utilise le système QUALIPRO, comme l'indique le logo."
"Le système QUALIPRO est-il une application de bureau ou une application web ?","C'est un système informatique web, accessible via une interface graphique dans un navigateur."
"Le système propose-t-il des indicateurs de performance (KPI) ?","Oui, le menu 'Indicateurs' permet de suivre les KPI liés aux non-conformités."
"Peut-on suivre les non-conformités par atelier de production ?","Oui, les non-conformités peuvent être filtrées et suivies par atelier."
"Qu'indique la mention 'Formateurs' en haut du document ?","Elle indique que ce document est un support destiné aux formateurs du système QUALIPRO."
"Le système est-il capable de gérer plusieurs sites ?","Oui, la présence du champ 'Site' montre qu'il peut gérer des non-conformités sur plusieurs sites différents."
"Peut-il y avoir plusieurs décideurs dans le système ?","Oui, il peut y avoir différents décideurs en fonction du site et du processus concerné."
"Qu'est-ce qu'un 'comité de réflexion' ?","C'est un groupe de travail qui peut identifier des non-conformités ou des axes d'amélioration."
"Quelle est la langue de l'interface du système présentée ?","L'interface présentée est en français."
"Existe-t-il un bouton pour supprimer une non-conformité ?","Oui, un bouton 'Supprimer' est visible dans la liste des non-conformités."
"Dans l'exemple, que signifie l'action de traitement 'Corriger le constat' ?","C'est l'action de traitement spécifique qui a été indiquée dans l'exemple de la formation."


"Qui sont les formateurs du module Action ?","Les formateurs sont l'Equipe Projet Qualipro."
"Combien de sections contient le module Action ?","Le module Action contient 9 sections principales."
"Quelles sont les 9 sections du module Action ?","Les sections sont : Tableau de Bord (Page d'accueil), Enregistrement Demande d'action, Validation d'une demande d'action, Enregistrement action, Modification une action, Réalisation d'une action, Suivi efficacité action, Clôture des actions, et Reporting des actions."
"Quelles sont les 5 étapes du logigramme du module Action ?","Les étapes sont : Enregistrement Action/Demande Action (Membre processus), Validation Demande Action (Pilotes/copilotes), Réalisation de Action (Tout acteur), Suivi de Action (Pilotes/copilotes), et Clôture (Qualité)."
"Qui peut enregistrer une demande d'action ?","Les membres processus peuvent enregistrer une demande d'action."
"Qui valide les demandes d'action ?","Les pilotes et copilotes valident les demandes d'action."
"Qui peut réaliser une action ?","Tout acteur peut réaliser une action."
"Qui assure le suivi des actions ?","Les pilotes et copilotes assurent le suivi des actions."
"Qui clôture les actions ?","L'équipe Qualité (Responsables de Clôture) clôture les actions."
"Quel est le taux de consultation des documents affiché sur le tableau de bord ?","Le taux de consultation des documents est de 100,00%."
"Quel est le taux d'efficacité moyen des actions clôturées ?","Le taux d'efficacité moyen des actions clôturées est de 100%."
"Combien d'audits prévus sont affichés sur le tableau de bord ?","8 audits prévus sont affichés."
"Quel est le taux d'indicateurs atteints ?","Le taux d'indicateurs atteints est de 54%."
"Quels types d'actions sont représentés dans le graphique du tableau de bord ?","Les types d'actions sont : Action Correctives, Action d'Amélioration, et Action liée au plan stratégique."
"Comment accéder au menu des demandes d'actions ?","Il faut sélectionner le menu Actions puis cliquer sur Demandes d'actions."
"Quel bouton faut-il cliquer pour ajouter une nouvelle demande d'action ?","Il faut appuyer sur le bouton Ajouter."
"Quels champs peuvent être utilisés pour filtrer les demandes d'action ?","Les champs de filtrage sont : N° Demande, Date Création entre, Site, Source d'action, Statut, et Processus."
"Quelles informations faut-il remplir lors de l'enregistrement d'une demande d'action ?","Il faut remplir : la désignation de la demande d'action, le type, la source, les causes possibles, la description du problème, le site (SAR), et le processus."
"Qui reçoit l'alerte lorsqu'une demande d'action est enregistrée ?","Le premier responsable de validation (paramétré par rapport aux pilotes et copilotes des processus) reçoit l'alerte."
"Combien de demandes d'action à valider sont affichées dans l'exemple ?","2 demandes d'action à valider sont affichées."
"Combien d'actions à réaliser sont affichées dans l'exemple ?","4 actions à réaliser sont affichées."
"Combien d'actions à suivre sont affichées dans l'exemple ?","1 action à suivre est affichée."
"Quels sont les deux choix possibles lors de la validation d'une demande ?","Les deux choix sont : Valider ou Refuser."
"Que faut-il choisir lors de la validation d'une demande d'action ?","Il faut choisir un responsable de suivi et le délai de suivi."
"Que faut-il faire après avoir validé une demande d'action ?","Il faut appuyer sur Ajouter puis introduire la liste des sous actions."
"Quelles sont les sous-actions dans l'exemple de demande d'action 5 ?","Les sous-actions sont : 1. Réserver une salle de formation et 2. Evaluer la formation."
"Qui est le responsable de réalisation de la sous-action 'évaluer la formation' ?","SECK MOUSTAPHA est le responsable de réalisation."
"Qui est le responsable de suivi de la sous-action 'évaluer la formation' ?","DIALLO DIEYNABA SILEYE est le responsable de suivi."
"Quel est le délai de réalisation pour la sous-action 'Réserver une salle de formation' ?","Le délai est le 26/02/2022."
"Quelles informations faut-il définir pour chaque sous-action ?","Pour chaque sous-action, il faut choisir un responsable de réalisation, un responsable de suivi, la gravité et la priorité."
"Quel est le motif de refus affiché dans l'exemple de demande d'action ?","Le motif de refus est 'Demande de formation acceptée'."
"Comment accéder au menu Action pour enregistrer une action ?","Il faut sélectionner le menu Actions puis cliquer sur Actions."
"Quelles sont les options disponibles dans le sous-menu Actions ?","Les options sont : Actions, Demandes d'actions, Modèles d'actions, Responsables de validation, Responsable de clôture, Sources d'actions, et Types d'actions."
"Quels sont les deux types d'action disponibles lors de l'ajout ?","Les deux types sont : Action Simplifiée et Action Détaillée."
"Quels sont les trois états de filtrage disponibles pour les actions ?","Les trois états sont : Les actions non encore clôturées, Les actions clôturées, et Tous."
"Quelles informations faut-il saisir lors de l'enregistrement d'une action ?","Il faut saisir : la désignation, le type, la source, la description problème/objet (si détaillé), rattacher le/les type(s) de cause(s) (si détaillé), le site, le processus, et le responsable de clôture."
"Quelle est l'année de l'action dans l'exemple de fiche action ?","L'année est 2022."
"Quelle est la référence interne de l'action dans l'exemple ?","La référence interne est AC-08/2021/S4."
"Quelle est la date de création de l'action dans l'exemple ?","La date de création est le 22/02/2022."
"Quelle est la source de l'action dans l'exemple ?","La source est 'Action issue d'une suggestion d'amélioration'."
"Quelle est la désignation de l'action dans l'exemple ?","La désignation est 'Mettre en place des procédures de fonctionnement'."
"Quelle est la description du problème dans l'exemple ?","La description est 'Mettre en place des procédures de fonctionnement'."
"Quelles sont les causes possibles mentionnées dans l'exemple ?","Les causes possibles sont 'Procédures de fonctionnement non documentées'."
"Quel est le site sélectionné dans l'exemple d'action ?","Le site est SAR."
"Quel est le processus associé à l'action dans l'exemple ?","Le processus est (S4) Gérer le système d'information."
"Qui est le responsable de clôture dans l'exemple ?","Le responsable de clôture est LY Cheikh Sidy Yahya."
"Peut-on avoir un seul ou plusieurs responsables de suivi ?","On peut avoir Un seul responsable de suivi ou Plusieurs responsables de suivi."
"Qui est le responsable de suivi dans l'exemple du plan d'actions ?","Le responsable de suivi est MBAYE MOUSTAPHA."
"Quelle est la date du délai de suivi dans l'exemple ?","Le délai de suivi est le 25/02/2022."
"Quelles sont les deux sous-actions du plan d'actions dans l'exemple ?","Les sous-actions sont : 1. Rédaction des procédures (délai 23/02/2022) et 2. Valider la rédaction de la procédure (délai 24/02/2022)."
"Qui est le responsable de réalisation des deux sous-actions ?","MBAYE MOUSTAPHA est le responsable de réalisation."
"Quelles actions sont disponibles dans la gestion du plan d'actions ?","Les actions disponibles sont : Rattacher, Ajouter, Supprimer, Dupliquer, et Enregistrer."
"Comment modifier une action existante ?","Il faut sélectionner le menu Action, sélectionner l'action en question (avec possibilité de filtrer), puis procéder aux modifications."
"Que se passe-t-il suite à la modification d'une action ?","Un champ 'Motif de modification' apparaît permettant la saisie des commentaires de modification, et toutes les modifications sont tracées dans la rubrique 'Traçabilité'."
"Quels filtres peuvent être appliqués lors de la recherche d'une action ?","Les filtres sont : N° Action, Date Création entre, Source d'action, Type action, Site, et Processus."
"Quelles sont les deux actions affichées dans l'exemple de liste d'actions ?","Les actions sont : Action 45 'Formation Qualipro' et Action 8 'NON RESPECT DE LA PROCEDURE DE FORMATION'."
"Quel est le type de l'action 45 ?","Le type est Action d'Amélioration."
"Quelle est la source de l'action 45 ?","La source est 'Action issue d'une suggestion d'amélioration'."
"Quel est le processus de l'action 45 ?","Le processus est (S3) Assurer la gestion comptable et financière."
"Quelle est la date de création de l'action 45 ?","La date de création est le 22/02/2022."
"Quels sont les taux de réalisation et d'efficacité de l'action 45 ?","Les taux de réalisation et d'efficacité sont tous deux de 0."
"L'action 45 est-elle clôturée ?","Non, l'action 45 n'est pas clôturée (NON)."
"Quel est le type de l'action 8 ?","Le type est Action Correctives."
"Quelle est la source de l'action 8 ?","La source est Constats d'audit."
"Quels sont les taux de réalisation et d'efficacité de l'action 8 ?","Les taux sont de 100 pour la réalisation et 100 pour l'efficacité."
"Qui a déclenchée la fiche action 45 dans l'exemple ?","MBAYE MOUSTAPHA a déclenchée la fiche action."
"Quel bouton permet de modifier une action ?","Le bouton 'Affectation' dans la section permet de modifier les détails."
"Où apparaît l'alerte Actions pour le responsable de réalisation ?","L'alerte Actions apparaît au niveau de l'agenda dès que le responsable réalisation accède à Qualipro."
"Combien d'actions à réaliser sont dans l'exemple de réalisation ?","4 actions à réaliser sont affichées."
"Comment accéder aux actions à réaliser ?","En cliquant sur l'alerte Actions puis en sélectionnant Action(s) à réaliser."
"Quelles informations peuvent être filtrées dans les actions à réaliser ?","On peut filtrer par N° Action et Désignation sous action."
"Quelles sont les actions disponibles dans la liste des actions à réaliser ?","Les actions sont : Enregistrer taux Réal, Exporter en Excel, et possibilité de cocher Action(s) Réalisée(s)."
"Combien d'actions sont listées dans l'exemple de réalisation ?","4 actions sont listées : action 2 (avec 2 sous-actions), action 46 (avec 2 sous-actions)."
"Quelle est la première sous-action de l'action 2 ?","La première sous-action est 'Déterminer la teneur en eau gaz de recyclage chaque matin jusqu'à la remise en service de l'hygromètre en ligne'."
"Quel est le délai de la première sous-action de l'action 2 ?","Le délai est le 26/01/2022."
"Qui est le responsable de suivi de l'action 2 ?","GUEYE FATOU KANE est le responsable de suivi."
"Quelle est la désignation de l'action 2 ?","La désignation est 'Réunion entre R2 et R4'."
"Quelle est la sous-action de l'action 46 numéro 2 ?","La sous-action est 'Valider la rédaction de la procédure'."
"Quel est le délai de cette sous-action ?","Le délai est le 24/02/2022."
"Quelles informations faut-il saisir lors de la réalisation d'une action ?","Il faut saisir : le taux de réalisation de l'action, la date de réalisation, et les commentaires éventuels."
"À quel taux une action est-elle considérée comme réalisée ?","L'action n'est considérée réalisée que si le Taux de réalisation = 100."
"Quels sont les champs visibles dans la fiche de réalisation ?","Les champs sont : Sous Action, Taux (100), Date réalisation (22/02/2022), Date saisie réalisation (22/02/2022), et Commentaire."
"Quel commentaire est mentionné dans l'exemple de réalisation ?","Le commentaire est 'procédure validée'."
"Quel est le numéro de l'action dans l'exemple de réalisation ?","Le numéro de l'action est 46."
"Comment faire le suivi de l'efficacité d'une action ?","Le responsable de suivi clique sur l'alerte Actions, puis sélectionne l'action dans la liste des actions à suivre."
"Quelles colonnes sont affichées dans la liste des actions à suivre ?","Les colonnes sont : N° Action, Désignation, Site, N° S. Act, Sous Action/problème/Objet, Délai, Resp. réal, Date réal., Taux réal., Commentaire resp. réal, Date Suivi, Taux eff., et Rapport effi."
"Quel est le taux de réalisation de l'action 46 dans la liste de suivi ?","Le taux de réalisation est de 100."
"Qui est le responsable de réalisation de l'action 46 ?","MBAYE MOUSTAPHA est le responsable de réalisation."
"Quelle est la date de suivi dans l'exemple ?","La date de suivi est le 25/02/2022."
"Quelles actions sont disponibles dans la liste de suivi ?","Les actions sont : Enregistrer taux Suivi et Exporter en Excel."
"Que doit faire le responsable de suivi s'il est d'accord ?","Il doit saisir le taux d'efficacité de l'action, rédiger son rapport d'efficacité, et appuyer sur Valider."
"Quels sont les champs affichés dans l'exemple de suivi d'action ?","Les champs sont : Sous Act (Mettre en place des procédures de fonctionnement), Taux réal. (100), Date réalisation, Date Suivi (22/02/2022), Commentaire resp. réalisation (- MBAYE MOUSTAPHA : procédure validée), Taux eff. (100), Date saisie suivi (22/02/2022), et Rapport effi. (Action mise en place efficace)."
"Quel bouton permet de modifier le taux réel dans la fiche de suivi ?","Le bouton 'Modifier T. Réal' permet de modifier le taux réel."
"Comment accéder au bouton pour accéder à l'action ?","En cliquant sur le bouton 'Accéder à l'action' dans la fiche."
"Où se trouve la liste des pièces jointes ?","La liste des pièces jointes se trouve en bas de la fiche d'action."
"Qui peut clôturer les actions ?","Seuls les Responsables de Clôture (équipe Qualité) peuvent clôturer les actions."
"Comment accéder à la liste des actions à clôturer ?","En sélectionnant l'action dans la liste des actions à clôturer depuis l'alerte Actions."
"Combien d'actions à clôturer sont affichées dans l'exemple ?","2 actions à clôturer sont affichées."
"Quelles sont les deux actions à clôturer dans l'exemple ?","Les actions sont : Action 6 'Test FKG' et Action 46 'Mettre en place des procédures de fonctionnement'."
"Que faut-il faire pour clôturer une action ?","Il faut cocher la case Clôturée, ajouter un commentaire pour le rapport clôture, et appuyer sur valider."
"Quelles sont les deux options de clôture disponibles ?","Les deux options sont : Clôturée et Non Clôturée."
"Quelle est la date de clôture dans l'exemple ?","La date de clôture est le 22/02/2022."
"Quel est le rapport de clôture dans l'exemple ?","Le rapport de clôture est 'action clôturée par la qualité'."
"Quelles sections sont visibles dans la fiche de clôture ?","Les sections sont : Objet, Plan d'actions, et Clôture."
"Comment rechercher le PAQ d'un processus donné ?","On fait un filtre pour afficher les actions du processus en sélectionnant le processus dans les filtres de recherche."
"Quel processus est utilisé dans l'exemple de recherche ?","Le processus (S3) Assurer la gestion comptable et financière est utilisé."
"Comment accéder au reporting des actions ?","En sélectionnant le menu de reporting puis en cliquant sur Actions dans le menu déroulant."
"Quels modules de reporting sont disponibles ?","Les modules disponibles incluent : Documentation, Actions, Audits, Indicateurs, Risques, Produits non conformes, Clients, Réclamations clients, Satisfaction Clients, Suggestions Clients, Fournisseurs, Réunions, Métrologie, Compétences, Formation, Parties intéressées, Environnement, Sécurité, et Etats généraux."
"Quel est le titre du rapport dans l'exemple de reporting ?","Le titre est 'Bilan des actions'."
"Quels filtres peuvent être définis pour le reporting ?","Les filtres sont : Source d'action, Déclencheur de l'action, Date Création entre, Désignation, Type, Description problème/objet, Site, Processus, Désignation sous action, Responsable Réalisation, Responsable Suivi, Délai Réalisation entre, Délai suivi entre, Référence Audit, Réalisation totale % entre, Efficacité totale % entre, et Personne Concernée/Auditée."
"Quelles options de sous-actions sont disponibles dans le reporting ?","Les options sont : Avec sous actions, Sans sous actions, Les sous actions non encore réalisées, et Les sous actions réalisées."
"Quelles options de clôture sont disponibles dans le reporting ?","Les options sont : Les actions non clôturées et Les actions clôturées."
"Quels modèles de rapport sont disponibles ?","Les modèles disponibles sont : Modèle 1, Modèle 2, et Modèle 3."
"Par quoi peut-on grouper les résultats dans le reporting ?","On peut grouper par : Source, Déclencheur de l'action, Type, Site, et Resp. réal."
"Quel processus est sélectionné dans l'exemple de rapport ?","Le processus (S4) Gerer le système d'information est sélectionné."
"Combien d'actions sont dans le bilan des actions de l'exemple ?","Il y a 5 actions dans le bilan."
"Quel est le pourcentage moyen de réalisation dans l'exemple ?","Le pourcentage moyen de réalisation est de 57%."
"Quel est le pourcentage moyen d'efficacité dans l'exemple ?","Le pourcentage moyen d'efficacité est de 57%."
"Quelle est la source d'action dans le rapport d'exemple ?","La source est 'Action Issue d'une recommadation revue de Direction'."
"Quel est le taux de réalisation par source ?","Le taux de réalisation par source est de 67%."
"Quel est le taux d'efficacité par source ?","Le taux d'efficacité par source est de 67%."
"Quelles colonnes sont affichées dans le bilan des actions ?","Les colonnes sont : N°Act, Désignation action, Description problème/objet, Type action, Sous Action, Responsable Réalisation, Délai réalisation, %Réal, et %Eff."
"Quelle est la première action du bilan ?","La première action est l'action 6 'Test FKG' avec deux sous-actions : TEST FKG1 et TEST FKG2."
"Qui sont les responsables de réalisation dans l'exemple ?","Les responsables sont DIALLO DIEYNABA SILEYE et MBAYE MOUSTAPHA."
"Quels sont les taux de réalisation et d'efficacité de l'action 6 ?","Les taux sont de 100% pour la réalisation et 100% pour l'efficacité pour les deux sous-actions."
"Quelle est la deuxième action du bilan ?","La deuxième action est l'action 40 'TEST' avec un type 'Action d'Amélioration'."
"Quels sont les taux de l'action 40 ?","Les taux sont de 0% pour la réalisation et 0% pour l'efficacité."
"Peut-on exporter le rapport ?","Oui, il y a un bouton 'Exporter' disponible."
"Quels sont les quatre autres types de reporting disponibles ?","Les autres types sont : Nombre d'actions par sources, Nombre d'actions par type, Etat d'avancement des plans d'actions, et Etat des actions par responsables."
"Combien d'alertes Action sont affichées dans le badge du menu ?","7 alertes sont affichées dans le badge Action."
"Combien d'alertes Audit sont affichées ?","3 alertes Audit sont affichées."
"Combien d'alertes Non conformités sont affichées ?","2 alertes Non conformités sont affichées."
"Combien d'alertes Réclamations sont affichées ?","1 alerte Réclamations est affichée."
"Combien d'alertes RH sont affichées ?","0 alerte RH est affichée."
"Peut-on dupliquer une action ?","Oui, il existe un bouton 'Dupliquer' dans les actions disponibles."
"Peut-on supprimer une action ?","Oui, il existe un bouton 'Supprimer' dans la liste des actions."
"Peut-on exporter la liste des actions ?","Oui, il existe un bouton 'Exporter' dans la liste des actions."
"Peut-on voir une légende des actions ?","Oui, il existe un bouton 'Légende' dans l'interface."
"Combien d'éléments peuvent être affichés par page ?","On peut afficher 10 éléments par page (configurable)."
"Y a-t-il une fonction de recherche rapide ?","Oui, il y a un champ 'Recherche rapide' disponible."
"Peut-on annuler une recherche ?","Oui, il y a un bouton 'Annuler' à côté du bouton Rechercher."
"Comment est organisée la navigation dans QUALIPRO ?","La navigation est organisée avec un menu latéral contenant Documentation, Actions, Audits, et d'autres modules avec des sous-menus déroulants."
"Que représente le graphique 'Taux d'actions par type' ?","Il représente la répartition des actions selon leur type : Action Correctives, Action d'Amélioration, et Action liée au plan stratégique."
"Quelle est la couleur dominante dans le graphique des types d'actions ?","La couleur bleue est dominante, représentant la majorité des actions."
"Y a-t-il des indicateurs visibles sur le tableau de bord ?","Oui, il y a plusieurs indicateurs : Indicateur 6, 7, 8, 9, 13, 15, 16, et 17."
"Que signifie 'Mes actions en retard' ?","C'est une section du tableau de bord qui affiche les actions dont le délai est dépassé pour l'utilisateur connecté."
"Que signifie 'Mes PNC reçues depuis le' ?","C'est une section qui affiche les Produits Non Conformes reçus depuis une date donnée."
"Peut-on sélectionner un indicateur depuis le tableau de bord ?","Oui, on peut sélectionner un indicateur depuis la liste déroulante avec la date 01/01/2022."
"Quels sont les numéros d'indicateurs affichés dans la recherche rapide ?","Les indicateurs affichés sont : 6, 7, 8, 9, 13, 15, 16, et 17."
"Que représente le TRIR ?","TRIR représente le Taux global d'accidents déclarés (Total Recordable Injury Rate)."
"Que mesure l'indicateur 8 ?","L'indicateur 8 mesure le Taux d'efficacité du SMQ."
"Comment créer un modèle d'action ?","En accédant au sous-menu 'Modèles d'actions' dans le menu Actions."
"Comment gérer les responsables de validation ?","En accédant au sous-menu 'Responsables de validation' dans le menu Actions."
"Comment gérer le responsable de clôture ?","En accédant au sous-menu 'Responsable de clôture' dans le menu Actions."
"Comment gérer les sources d'actions ?","En accédant au sous-menu 'Sources d'actions' dans le menu Actions."
"Comment gérer les types d'actions ?","En accédant au sous-menu 'Types d'actions' dans le menu Actions."
"Peut-on rattacher une action existante ?","Oui, il existe un bouton 'Rattacher' dans la gestion du plan d'actions."
"Peut-on enregistrer un plan d'actions ?","Oui, il existe un bouton 'Enregistrer' dans la gestion du plan d'actions."
"Quels sont les champs d'une sous-action dans le plan ?","Les champs sont : Pièces jointes, N° Act, Désignation, Délai, Resp. réal, Tx. réal., et Commentaires."
"Quel est le numéro de la première sous-action dans l'exemple de plan ?","Le numéro est 1."
"Quelle est la désignation de la première sous-action ?","La désignation est 'Rédaction des procédures'."
"Quel est le coût mentionné dans la colonne ?","Le coût est de 0."
"Y a-t-il une pagination dans les listes ?","Oui, il y a une pagination avec les boutons Précédent, 1, et Suivant."
"Comment accéder aux détails d'une action depuis la liste ?","En cliquant sur le numéro de l'action (avec l'icône crayon)."
"Que signifie l'icône crayon à côté du numéro d'action ?","L'icône crayon indique qu'on peut modifier ou consulter les détails de l'action."
"Peut-on filtrer les actions par date de création ?","Oui, on peut définir une plage de dates avec 'Date Création entre' et 'et'."
"Peut-on filtrer les actions par désignation ?","Oui, il y a un champ 'Désignation' dans les filtres."
"Les actions affichent-elles la date de création ?","Oui, la colonne 'Date de création' est affichée dans la liste."
"Les actions affichent-elles les taux de réalisation et d'efficacité ?","Oui, les colonnes 'Tx. réal.%' et 'Tx. eff.%' sont affichées."
"Les actions affichent-elles le statut de clôture ?","Oui, la colonne 'Clôturée' affiche OUI ou NON."
"Les actions affichent-elles qui les a clôturées ?","Oui, la colonne 'Clôturée par' affiche le nom de la personne."
"Quel est l'objectif principal du module Action ?","L'objectif est de gérer le cycle de vie complet des actions : de la demande à la clôture, en passant par la validation, la réalisation et le suivi d'efficacité."
"Comment QUALIPRO assure-t-il la traçabilité des modifications ?","Toutes les modifications sont enregistrées dans la rubrique 'Traçabilité', qui est disponible dans les fiches détaillées de la plupart des éléments."
"Qu'est-ce que le logiciel QUALIPRO ?","QUALIPRO est un logiciel de management de la qualité conçu pour gérer de manière efficiente et transparente l'ensemble des processus qualité d'une organisation."
"Qui assure la formation pour QUALIPRO ?","La formation pour QUALIPRO est assurée par l'Équipe Projet Qualipro."
"Quel est le code projet assigné à QUALIPRO ?","Le code projet assigné au logiciel est QUALIPRO."
"Quelle entreprise utilise le logiciel QUALIPRO ?","L'entreprise SAR utilise QUALIPRO comme système de management de la qualité."
"Combien de modules principaux le logiciel QUALIPRO intègre-t-il ?","QUALIPRO intègre 9 modules principaux pour une gestion complète de la qualité."
"Quels sont les neuf modules principaux de QUALIPRO ?","Les neuf modules de QUALIPRO sont : Présentation des modules, Tableau de Bord, Reporting, Module Action, Module Documentation, Module PNC, Module Réunion, Module Indicateur et Module Risque."
"Quelle est la fonction principale du module Reporting dans QUALIPRO ?","Le module Reporting permet de générer des rapports détaillés et des statistiques sur l'ensemble des modules de QUALIPRO."
"Quels domaines spécifiques sont couverts par le module Reporting ?","Le module Reporting couvre les domaines suivants : Documentation, Actions, Audits, Indicateurs, Risques & Opportunités, PNC, Clients, Fournisseurs, Réunions, Métrologie, GRH, Parties intéressées, Environnement et Sécurité."
"Quelles informations clés sont affichées sur le tableau de bord de QUALIPRO ?","Le tableau de bord affiche des indicateurs clés, des alertes, le taux de consultation des documents, le taux d'efficacité des actions, le nombre d'audits prévus, le taux d'indicateurs atteints et le nombre de PNC reçues."
"Comment peut-on accéder au tableau de bord de QUALIPRO ?","Le tableau de bord est la page d'accueil par défaut, accessible immédiatement après la connexion à QUALIPRO."
"Que représente le pourcentage de 100% affiché sur le tableau de bord ?","Le chiffre de 100% sur le tableau de bord représente le taux de consultation des documents par les utilisateurs."
"Combien d'éléments en attente sont visibles sur l'exemple du tableau de bord ?","L'exemple du tableau de bord montre 4 actions, 3 audits, 2 non-conformités, 1 réclamation et 0 élément RH en attente."
"Qu'est-ce qu'un badge de notification dans l'interface de QUALIPRO ?","Un badge de notification est un indicateur numérique affiché sur les menus pour signaler le nombre d'éléments qui requièrent une action de l'utilisateur."
"Quelle est l'utilité du graphique 'Taux d'actions par type' sur le tableau de bord ?","Ce graphique permet de visualiser la répartition des actions selon leur nature : Actions Correctives, Actions d'Amélioration, ou Actions liées au plan stratégique."
"Que sont les 'actions correctives' dans le module Action ?","Les actions correctives sont des mesures prises pour éliminer la cause d'un problème ou d'une non-conformité identifiée."
"Que sont les 'actions d'amélioration' dans le module Action ?","Les actions d'amélioration sont des mesures visant à optimiser les processus ou la performance, même en l'absence de problème identifié."
"Que sont les 'actions liées au plan stratégique' dans le module Action ?","Ce sont des actions qui découlent directement de la stratégie globale de l'entreprise et de ses objectifs à long terme."
"Combien d'étapes le processus de gestion d'une action comporte-t-il ?","Le processus de gestion d'une action dans QUALIPRO se déroule en 5 étapes : Enregistrement/Demande, Validation de la demande, Réalisation, Suivi et Clôture."
"Qui est habilité à enregistrer une demande d'action dans QUALIPRO ?","Un membre de processus est habilité à enregistrer une nouvelle demande d'action."
"Qui est responsable de la validation d'une demande d'action ?","Les pilotes et copilotes des processus sont responsables de la validation des demandes d'action."
"Qui peut être désigné pour réaliser une action dans QUALIPRO ?","Tout acteur désigné comme responsable peut être en charge de la réalisation d'une action."
"Qui assure le suivi de la réalisation des actions ?","Les pilotes et copilotes des processus sont chargés d'assurer le suivi des actions en cours."
"Qui est en charge de la clôture finale des actions ?","L'équipe Qualité est responsable de la clôture finale des actions."
"Comment un pilote peut-il valider une demande d'action ?","Pour valider une demande, il faut cliquer sur l'alerte 'Actions', sélectionner la demande concernée, puis cliquer sur 'Valider' ou 'Refuser' en précisant un motif."
"Que se passe-t-il lorsqu'une demande d'action est refusée ?","En cas de refus, il est obligatoire de saisir un motif. La demande est alors officiellement refusée et le demandeur initial en est notifié."
"Où peut-on retrouver les demandes d'actions en attente de validation ?","Les demandes d'actions à valider se trouvent dans l'agenda, sous la section 'Demande(s) d'action à valider'."
"Quelle est la procédure pour enregistrer une nouvelle action ?","Pour enregistrer une action, il faut aller dans le menu 'Action', cliquer sur 'Actions', puis sur 'Ajouter' et choisir entre une 'Action Simplifiée' ou une 'Action Détaillée'."
"Quelle est la différence entre une 'action simplifiée' et une 'action détaillée' ?","L'action simplifiée requiert moins d'informations, tandis que l'action détaillée exige une description du problème/objet ainsi que l'analyse des causes."
"Quels sont les champs obligatoires lors de la création d'une action ?","Les champs à renseigner sont : Désignation, type, source, description du problème/objet (si détaillée), causes (si détaillée), site, processus et responsable de clôture."
"Est-il possible d'ajouter des sous-actions à une action principale ?","Oui, il est possible d'ajouter une liste de sous-actions, chacune avec des responsables et des délais spécifiques."
"Comment peut-on modifier une action déjà enregistrée ?","Pour modifier une action, il faut la sélectionner dans la liste du menu 'Action', apporter les modifications nécessaires, puis valider les changements."
"Qu'implique la modification d'une action existante ?","Lorsqu'une action est modifiée, un champ 'Motif de modification' doit être complété, et toutes les modifications sont enregistrées dans la rubrique 'Traçabilité'."
"Est-il possible de filtrer la liste des actions ?","Oui, les actions peuvent être filtrées par source, type, processus ou date de création."
"Peut-on exporter la liste des actions depuis QUALIPRO ?","Oui, un bouton 'Exporter' est disponible dans la liste des actions pour en extraire les données."
"Quels sont les différents statuts possibles pour une action ?","Les actions peuvent avoir les statuts suivants : 'Actions non encore clôturées', 'Actions clôturées', ou 'Toutes'."
"Que mesure le 'taux de réalisation des actions' ?","Le taux de réalisation des actions est le pourcentage d'actions qui ont été achevées par rapport au nombre total d'actions planifiées."
"Que mesure le 'taux d'efficacité des actions' ?","Le taux d'efficacité des actions est le pourcentage d'actions qui ont atteint leur objectif et résolu le problème initial après leur réalisation."
"Combien d'étapes composent le cycle de validation d'un document dans QUALIPRO ?","Le cycle de validation d'un document se déroule en 6 étapes : Proposition, Création, Validation du contenu, Vérification, Approbation, et Mise en vigueur/Diffusion."
"Qui peut proposer la création ou la modification d'un document ?","Le rédacteur a la possibilité de proposer la création ou la modification d'un document."
